2013-05-05 15:10:40 startup archives install
2013-05-05 15:10:41 install base-files:armhf <none> 6.12ubuntu2
2013-05-05 15:10:41 status half-installed base-files:armhf 6.12ubuntu2
2013-05-05 15:10:42 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:42 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:45 install base-passwd:armhf <none> 3.5.26
2013-05-05 15:10:45 status half-installed base-passwd:armhf 3.5.26
2013-05-05 15:10:45 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:10:45 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:10:45 configure base-passwd:armhf 3.5.26 3.5.26
2013-05-05 15:10:45 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:10:45 status half-configured base-passwd:armhf 3.5.26
2013-05-05 15:10:46 status installed base-passwd:armhf 3.5.26
2013-05-05 15:10:46 configure base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:10:46 status half-configured base-files:armhf 6.12ubuntu2
2013-05-05 15:10:47 status installed base-files:armhf 6.12ubuntu2
2013-05-05 15:10:47 startup archives install
2013-05-05 15:10:47 upgrade dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-05-05 15:10:47 status half-configured dpkg 1.16.10ubuntu1
2013-05-05 15:10:48 status unpacked dpkg 1.16.10ubuntu1
2013-05-05 15:10:48 status half-installed dpkg 1.16.10ubuntu1
